classification,location_evidence,cell_index,tree_id,direction_index_zero_based,direction,q_seeder,q_oracle,triangle_aabb_candidate_count,port_boundary_labels,x_m,y_m,z_m
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,182166,135152509,7,0 -1 1,1.0,,3,outlet_01,0.00011338277157903458,0.00015377635942453769,0.00016650639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,182203,135152585,8,0 1 -1,1.0,,2,outlet_01,0.00011338277157903458,0.00015417635942453767,0.00016590639894086847
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,182264,135152876,4,0 1 0,1.0,,0,outlet_01,0.0001151827715790346,0.00015437635942453767,0.00016550639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,182266,135152885,17,1 1 0,1.0,,4,outlet_01,0.00011538277157903459,0.00015417635942453767,0.0001657063989408685
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,182267,135152887,3,1 0 0,1.0,,0,outlet_01,0.00011538277157903459,0.00015437635942453767,0.0001657063989408685
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,182306,135153030,7,0 -1 1,1.0,,1,outlet_01,0.00011558277157903458,0.00015377635942453769,0.00016650639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,182307,135153106,8,0 1 -1,1.0,,3,outlet_01,0.00011558277157903458,0.00015417635942453767,0.00016590639894086847
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,182309,135154252,5,0 0 1,1.0,,0,outlet_01,0.00011358277157903459,0.00015357635942453768,0.00016670639894086849
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,182312,135154261,13,1 0 1,1.0,,2,outlet_01,0.0001137827715790346,0.0001533763594245377,0.0001669063989408685
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,182312,135154261,15,-1 1 0,1.0,,2,outlet_01,0.0001137827715790346,0.0001533763594245377,0.0001669063989408685
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,182313,135154262,5,0 0 1,1.0,,0,outlet_01,0.0001139827715790346,0.0001533763594245377,0.0001669063989408685
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,182313,135154262,13,1 0 1,1.0,,0,outlet_01,0.0001139827715790346,0.0001533763594245377,0.0001669063989408685
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,182317,135154762,5,0 0 1,1.0,,1,outlet_01,0.0001151827715790346,0.0001533763594245377,0.00016670639894086849
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,182318,135154765,3,1 0 0,1.0,,1,outlet_01,0.0001149827715790346,0.0001533763594245377,0.0001669063989408685
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,182318,135154765,5,0 0 1,1.0,,0,outlet_01,0.0001149827715790346,0.0001533763594245377,0.0001669063989408685
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,182318,135154765,12,-1 0 1,1.0,,0,outlet_01,0.0001149827715790346,0.0001533763594245377,0.0001669063989408685
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,182319,135154771,3,1 0 0,1.0,,0,outlet_01,0.00011538277157903459,0.00015357635942453768,0.00016670639894086849
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,182319,135154771,7,0 -1 1,1.0,,4,outlet_01,0.00011538277157903459,0.00015357635942453768,0.00016670639894086849
